Entity,Code,Year,,"Indicator:Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage Types:Beer (litres of pure alcohol)"
Sri Lanka,LKA,1998,Sri Lanka_1998,0.07
Sri Lanka,LKA,1999,Sri Lanka_1999,0.09
Sri Lanka,LKA,2000,Sri Lanka_2000,0.1
Sri Lanka,LKA,2001,Sri Lanka_2001,0.1
Sri Lanka,LKA,2002,Sri Lanka_2002,0.15
Sri Lanka,LKA,2003,Sri Lanka_2003,0.15
Sri Lanka,LKA,2004,Sri Lanka_2004,0.17
Sri Lanka,LKA,2005,Sri Lanka_2005,0.3
Sri Lanka,LKA,2006,Sri Lanka_2006,0.2
Sri Lanka,LKA,2007,Sri Lanka_2007,0.2
Sri Lanka,LKA,2008,Sri Lanka_2008,0.2
Sri Lanka,LKA,2009,Sri Lanka_2009,0.2
Sri Lanka,LKA,2010,Sri Lanka_2010,0.3
