Entity,Code,Year,spirits,beer,wine,total_consumpssion_2015
Albania,ALB,2014,1.85,1.45,1.14,6.6
Angola,AGO,2014,1.47,5.48,1.32,7.6
Antigua and Barbuda,ATG,2014,3.7,2.72,1.87,3.2
Argentina,ARG,2014,0.56,3.36,3.22,7.6
Armenia,ARM,2014,3.25,0.51,0.13,5.5
Australia,AUS,2014,1.23,4.01,3.64,12.6
Austria,AUT,2014,1.7,6.25,4.37,8.5
Bahamas,BHS,2014,3.96,3.53,1.6,4.2
Bahrain,BHR,2014,1.04,0.38,0.13,2.4
Barbados,BRB,2014,4.39,3.42,0.83,6.5
Belarus,BLR,2014,5.97,3.01,0.37,17.1
Belgium,BEL,2014,1.8,6.21,4.53,10.8
Belize,BLZ,2014,1.89,4.34,0.2,8.3
Bolivia,BOL,2014,0.82,2.73,0.03,5.8
Bosnia and Herzegovina,BIH,2014,0.54,3.2,0.15,7.5
Brazil,BRA,2014,2.39,4.64,0.27,9.1
Bulgaria,BGR,2014,4.78,4.31,2.87,11.3
Canada,CAN,2014,2,3.8,2,10.3
Chile,CHL,2014,1.63,2.65,2.65,9.3
China,CHN,2014,3.72,1.88,0.17,7.6
Colombia,COL,2014,1.28,3.03,0.05,6.6
Costa Rica,CRI,2014,0.95,2.2,0.27,5.1
Croatia,HRV,2014,1.31,4.23,6.25,11.7
Cuba,CUB,2014,2.52,1.74,0.09,5.5
Czech Republic,CZE,2014,3.16,6.93,2.6,14.1
Denmark,DNK,2014,1.6,3.61,4.35,10.2
Djibouti,DJI,2014,0.22,0.12,0.03,0.9
Dominican Republic,DOM,2014,2.29,3.35,0.22,7.6
Ecuador,ECU,2014,0.74,2.99,0.06,6.1
Egypt,EGY,2014,0.07,0.14,0,0.3
El Salvador,SLV,2014,1.32,1.16,0.04,3.5
Finland,FIN,2014,1.94,4.22,1.67,11.9
France,FRA,2014,2.5,2.3,6.4,11.6
Georgia,GEO,2014,2.11,1.51,2.5,6.7
Germany,DEU,2014,2.07,5.86,3.1,10.6
Greece,GRC,2014,1.48,2.07,3.92,9.3
Grenada,GRD,2014,3.94,3.59,0.59,10.4
Guatemala,GTM,2014,0.84,0.99,0.04,3.9
Guyana,GUY,2014,5.66,1.92,0.02,8.6
Honduras,HND,2014,1.37,1.46,0.03,4
Iceland,ISL,2014,0.72,4.59,2.03,6.9
India,IND,2014,2.86,0.21,0,4.6
Indonesia,IDN,2014,0.01,0.07,0,0.6
Ireland,IRL,2014,1.97,5.13,2.8,10.9
Israel,ISR,2014,1.07,1.34,0.17,3.1
Italy,ITA,2014,0.86,1.73,4.97,6.1
Jamaica,JAM,2014,1.93,1.42,0.16,5.1
Jordan,JOR,2014,0.33,0.06,0.01,0.7
Kazakhstan,KAZ,2014,4.07,1.87,0.35,8.2
Lebanon,LBN,2014,0.74,0.39,0.16,2.2
Lithuania,LTU,2014,5.79,5.46,1.5,16.2
Luxembourg,LUX,2014,2.28,4.08,4.75,11.2
Macedonia,MKD,2014,0.29,0.59,0.26,5.7
Malaysia,MYS,2014,0.11,0.39,0.01,1.7
Malta,MLT,2014,1.99,2.88,3.25,7.2
Mexico,MEX,2014,1.12,3.87,0.23,6.8
Micronesia (country),FSM,2014,0.52,0.92,0.14,3.5
Moldova,MDA,2014,2.94,1.92,4.9,17.4
Morocco,MAR,2014,0.06,0.16,0.21,0.7
New Zealand,NZL,2014,1.48,3.34,3.15,11.2
Nicaragua,NIC,2014,2.14,1.39,0.02,4.6
Norway,NOR,2014,1.04,2.62,2.25,7
Oman,OMN,2014,0.22,0.18,0,0.9
Panama,PAN,2014,1.28,5.23,0.21,7.7
Philippines,PHL,2014,3.38,1.11,0.02,5.6
Poland,POL,2014,3.4,6.45,0.86,11.5
Portugal,PRT,2014,0.8,2.67,5.99,12.5
Qatar,QAT,2014,0.69,0.31,0.15,1.3
Russia,RUS,2014,4.57,4.19,1.12,14.5
Saint Kitts and Nevis,KNA,2014,4.06,4.01,0.41,7
Saint Lucia,LCA,2014,4.78,3.27,1.46,10.4
Saint Vincent and the Grenadines,VCT,2014,4.13,2.49,0.23,7.2
Saudi Arabia,SAU,2014,0.09,0,0,0.2
Senegal,SEN,2014,0.02,0.14,0.09,0.5
Serbia,SRB,2014,2.11,2.61,4.16,12.9
Singapore,SGP,2014,0.25,1.27,0.27,2.9
Slovakia,SVK,2014,4.36,3.3,2.36,12.5
Slovenia,SVN,2014,0.8,4.36,5.31,10.9
South Africa,ZAF,2014,0.57,4.46,1.35,11.5
Sri Lanka,LKA,2014,1.96,0.36,0.01,4.5
Suriname,SUR,2014,3.8,2.15,0.16,6.5
Sweden,SWE,2014,1,2.7,3.6,8.7
Switzerland,CHE,2014,1.76,3.16,4.57,10.4
Thailand,THA,2014,4.7,1.66,0.04,8.3
Trinidad and Tobago,TTO,2014,2.79,3.71,0.32,6.6
Tunisia,TUN,2014,0.05,0.95,0.38,1.2
Turkey,TUR,2014,0.48,0.83,0.13,2.4
Turkmenistan,TKM,2014,1.28,0.81,0.8,5
Ukraine,UKR,2014,4.22,2.94,0.72,11.8
United Arab Emirates,ARE,2014,1.57,0.2,0.13,4.3
United Kingdom,GBR,2014,2.07,3.48,4.06,12
United States,USA,2014,3.03,4.16,1.63,9
Uruguay,URY,2014,0.96,1.94,3.13,7
Venezuela,VEN,2014,1.42,4.91,0.06,8.3
Vietnam,VNM,2014,1.76,2.31,0.02,8.7
Zimbabwe,ZWE,2014,0.43,2.23,0.05,4.8
Afghanistan,AFG,2013,0,0.01,0,1
Albania,ALB,2013,1.92,1.68,1.08,6.6
Algeria,DZA,2013,0.1,0.25,0.22,0.6
Andorra,AND,2013,2.59,3.1,4.29,9.1
Angola,AGO,2013,1.18,5.42,1.44,7.6
Antigua and Barbuda,ATG,2013,3.84,2.77,1.7,3.2
Argentina,ARG,2013,0.52,3.36,3.51,7.6
Armenia,ARM,2013,3.23,0.42,0.13,5.5
Australia,AUS,2013,1.29,4.04,3.7,12.6
Austria,AUT,2013,1.7,6.03,4.09,8.5
Azerbaijan,AZE,2013,1.63,0.19,0.23,2.1
Bahamas,BHS,2013,3.99,3.47,1.61,4.2
Bahrain,BHR,2013,1.14,0.37,0.12,2.4
Bangladesh,BGD,2013,0,0,0,0.2
Barbados,BRB,2013,4.28,3.4,0.87,6.5
Belarus,BLR,2013,6.45,3.08,0.37,17.1
Belgium,BEL,2013,1.68,5.81,4.26,10.8
Belize,BLZ,2013,1.89,4.34,0.17,8.3
Bolivia,BOL,2013,0.83,2.73,0.17,5.8
Bosnia and Herzegovina,BIH,2013,0.55,3.28,0.15,7.5
Brazil,BRA,2013,2.49,4.45,0.27,9.1
Bulgaria,BGR,2013,4.88,4.27,2.86,11.3
Burkina Faso,BFA,2013,0.24,0.67,0.1,7.4
Canada,CAN,2013,2.1,3.9,2,10.3
Chad,TCD,2013,0.04,0.43,0.05,4.4
Chile,CHL,2013,1.71,2.6,2.65,9.3
China,CHN,2013,3.71,1.89,0.19,7.6
Colombia,COL,2013,1.31,3.03,0.05,6.6
Costa Rica,CRI,2013,0.98,2.17,0.24,5.1
Cote d'Ivoire,CIV,2013,0.01,0.82,0.24,6.5
Croatia,HRV,2013,1.27,4.59,6.19,11.7
Cuba,CUB,2013,2.39,1.69,0.08,5.5
Cyprus,CYP,2013,3.25,3.3,2.48,9.1
Czech Republic,CZE,2013,3.05,6.9,2.49,14.1
Denmark,DNK,2013,1.58,3.51,4.33,10.2
Djibouti,DJI,2013,0.22,0.11,0.2,0.9
Dominican Republic,DOM,2013,2.39,3.28,0.2,7.6
Ecuador,ECU,2013,0.74,2.96,0.05,6.1
Egypt,EGY,2013,0.07,0.14,0,0.3
El Salvador,SLV,2013,1.25,1.12,0.04,3.5
Equatorial Guinea,GNQ,2013,0,9.01,1.71,8.1
Ethiopia,ETH,2013,0.12,0.78,0,4.3
Finland,FIN,2013,2.03,4.28,1.71,11.9
France,FRA,2013,2.5,1.8,6.5,11.6
Gabon,GAB,2013,1.61,6.22,0.96,11.8
Georgia,GEO,2013,2.11,1.28,2.51,6.7
Germany,DEU,2013,2.05,5.81,3.08,10.6
Greece,GRC,2013,1.49,2.11,3.79,9.3
Grenada,GRD,2013,3.94,3.58,0.49,10.4
Guatemala,GTM,2013,0.9,0.98,0.04,3.9
Guyana,GUY,2013,5.61,1.9,0.02,8.6
Haiti,HTI,2013,5.65,0.01,0.02,5.9
Honduras,HND,2013,1.65,1.43,0.03,4
Hungary,HUN,2013,3.75,3.79,3.35,12.4
Iceland,ISL,2013,0.74,4.43,2.04,6.9
India,IND,2013,2.89,0.21,0,4.6
Indonesia,IDN,2013,0.01,0.07,0,0.6
Ireland,IRL,2013,2.01,4.99,2.64,10.9
Israel,ISR,2013,1.23,1.29,0.13,3.1
Italy,ITA,2013,0.79,1.7,4.86,6.1
Jamaica,JAM,2013,1.96,1.39,0.16,5.1
Japan,JPN,2013,4.29,1.39,0.39,7.5
Jordan,JOR,2013,0.33,0.05,0.01,0.7
Kazakhstan,KAZ,2013,4.14,2,0.33,8.2
Kenya,KEN,2013,0.39,0.91,0.04,4
Latvia,LVA,2013,4,4.67,1.1,10.6
Lebanon,LBN,2013,0.79,0.32,0.17,2.2
Lithuania,LTU,2013,5.72,5.26,1.48,16.2
Luxembourg,LUX,2013,2.28,3.8,4.79,11.2
Macedonia,MKD,2013,0.24,0.59,0.2,5.7
Madagascar,MDG,2013,0.34,0.42,0.1,1.9
Malaysia,MYS,2013,0.12,0.4,0.01,1.7
Malta,MLT,2013,2.06,2.9,3.26,7.2
Mexico,MEX,2013,1.11,3.85,0.22,6.8
Micronesia (country),FSM,2013,0.51,0.89,0.27,3.5
Moldova,MDA,2013,3.27,2.1,4.89,17.4
Morocco,MAR,2013,0.07,0.18,0.2,0.7
Mozambique,MOZ,2013,0.25,0.75,0.11,2
Myanmar,MMR,2013,0.26,0.44,0,0.7
Nepal,NPL,2013,0.12,0.15,0,2.1
Netherlands,NLD,2013,1.52,4.2,2.97,9.6
New Zealand,NZL,2013,1.52,3.45,3.01,11.2
Nicaragua,NIC,2013,2.2,1.35,0.03,4.6
Nigeria,NGA,2013,0.06,0.76,0.05,11.3
North Korea,PRK,2013,3.26,0.09,0,4.4
Norway,NOR,2013,1.09,2.68,2.3,7
Oman,OMN,2013,0.26,0.18,0.02,0.9
Pakistan,PAK,2013,0.03,0,0,0.1
Panama,PAN,2013,1.55,5.11,0.21,7.7
Paraguay,PRY,2013,1.94,2.57,0.53,9.6
Peru,PER,2013,1.64,3.3,0.44,5.2
Philippines,PHL,2013,3.45,1.13,0.02,5.6
Poland,POL,2013,4.41,6.39,0.84,11.5
Portugal,PRT,2013,0.81,2.79,6.01,12.5
Qatar,QAT,2013,0.7,0.31,0.18,1.3
Romania,ROU,2013,1.41,5.11,3.07,12.9
Russia,RUS,2013,4.85,4.09,1.11,14.5
Saint Kitts and Nevis,KNA,2013,4.02,3.96,0.39,7
Saint Lucia,LCA,2013,4.66,3.28,1.32,10.4
Saint Vincent and the Grenadines,VCT,2013,4.16,2.41,0.34,7.2
Saudi Arabia,SAU,2013,0.09,0,0,0.2
Senegal,SEN,2013,0.03,0.14,0.09,0.5
Serbia,SRB,2013,2.1,2.69,4.17,12.9
Singapore,SGP,2013,0.29,1.23,0.28,2.9
Slovakia,SVK,2013,4.12,3.41,1.77,12.5
Slovenia,SVN,2013,0.89,4.56,4.09,10.9
South Africa,ZAF,2013,0.57,4.5,1.28,11.5
South Korea,KOR,2013,0.39,2.07,0.15,10.9
Spain,ESP,2013,2.69,4.4,2.07,10.6
Sri Lanka,LKA,2013,2.11,0.39,0,4.5
Suriname,SUR,2013,3.51,2.11,0.18,6.5
Sweden,SWE,2013,1.1,2.6,3.6,8.7
Switzerland,CHE,2013,1.76,3.17,4.69,10.4
Tanzania,TZA,2013,0.1,0.81,0.02,8.1
Thailand,THA,2013,4.77,1.68,0.03,8.3
Trinidad and Tobago,TTO,2013,2.76,3.62,0.22,6.6
Tunisia,TUN,2013,0.06,0.85,0.38,1.2
Turkey,TUR,2013,0.49,0.78,0.13,2.4
Turkmenistan,TKM,2013,1.29,0.83,0.81,5
Ukraine,UKR,2013,4.32,3.21,0.72,11.8
United Arab Emirates,ARE,2013,1.5,0.19,0.12,4.3
United Kingdom,GBR,2013,2.09,3.38,4.03,12
United States,USA,2013,2.99,4.24,1.59,9
Uruguay,URY,2013,0.6,1.97,3.25,7
Venezuela,VEN,2013,1.68,4.9,0.05,8.3
Vietnam,VNM,2013,1.81,2.17,0.02,8.7
Yemen,YEM,2013,0,0.04,0,0.2
Zambia,ZMB,2013,0.01,1.05,0.07,4
Zimbabwe,ZWE,2013,0.43,2.12,0.05,4.8
Afghanistan,AFG,2012,0,0.01,0,1
Albania,ALB,2012,2.05,1.68,1.33,6.6
Algeria,DZA,2012,0.07,0.22,0.36,0.6
Andorra,AND,2012,2.6,3.26,4.42,9.1
Angola,AGO,2012,0.53,5.58,2.11,7.6
Antigua and Barbuda,ATG,2012,3.57,2.81,1.53,3.2
Argentina,ARG,2012,0.25,3.21,4.04,7.6
Armenia,ARM,2012,3.31,0.25,0.32,5.5
Australia,AUS,2012,1.26,4.14,3.78,12.6
Austria,AUT,2012,1.7,6.27,4.3,8.5
Bahamas,BHS,2012,4.09,3.41,1.64,4.2
Bahrain,BHR,2012,1.23,0.35,0.11,2.4
Bangladesh,BGD,2012,0,0,0,0.2
Barbados,BRB,2012,4.23,3.39,0.79,6.5
Belarus,BLR,2012,8.32,2.98,0.37,17.1
Belgium,BEL,2012,1.55,4.79,3.73,10.8
Belize,BLZ,2012,1.93,4.37,0.2,8.3
Bolivia,BOL,2012,0.82,2.81,0.22,5.8
Bosnia and Herzegovina,BIH,2012,0.59,3.5,0.39,7.5
Brazil,BRA,2012,2.57,4.61,0.33,9.1
Bulgaria,BGR,2012,4.99,4.3,1.65,11.3
Burkina Faso,BFA,2012,0.2,0.63,0.18,7.4
Canada,CAN,2012,2.1,4,2,10.3
Chad,TCD,2012,0.04,0.38,0.05,4.4
Chile,CHL,2012,1.83,2.48,2.22,9.3
China,CHN,2012,3.7,1.82,0.22,7.6
Colombia,COL,2012,1.31,3.05,0.06,6.6
Costa Rica,CRI,2012,0.93,2.17,0.2,5.1
Cote d'Ivoire,CIV,2012,0.05,0.81,0.27,6.5
Croatia,HRV,2012,1.24,4.53,5.36,11.7
Cuba,CUB,2012,2.42,1.65,0.08,5.5
Cyprus,CYP,2012,4.47,3.48,2.61,9.1
Czech Republic,CZE,2012,3.14,6.96,2.62,14.1
Denmark,DNK,2012,1.52,3.56,4.11,10.2
Djibouti,DJI,2012,0.23,0.16,0.12,0.9
Dominican Republic,DOM,2012,2.44,3.24,0.18,7.6
Ecuador,ECU,2012,0.96,2.88,0.06,6.1
Egypt,EGY,2012,0.08,0.13,0.02,0.3
El Salvador,SLV,2012,1.36,1.09,0.03,3.5
Equatorial Guinea,GNQ,2012,0,8.11,3.78,8.1
Ethiopia,ETH,2012,0.12,0.78,0,4.3
Finland,FIN,2012,2.16,4.27,1.7,11.9
France,FRA,2012,2.5,2.1,6.7,11.6
Gabon,GAB,2012,1.49,5.83,0.92,11.8
Georgia,GEO,2012,2.18,1.2,4.33,6.7
Germany,DEU,2012,2.05,5.93,3.19,10.6
Greece,GRC,2012,1.49,2.11,4.54,9.3
Grenada,GRD,2012,3.89,3.57,0.42,10.4
Guatemala,GTM,2012,0.99,0.99,0.04,3.9
Guyana,GUY,2012,5.66,1.86,0.02,8.6
Haiti,HTI,2012,5.65,0.01,0.02,5.9
Honduras,HND,2012,1.66,1.41,0.03,4
Hungary,HUN,2012,3.87,4.08,3.33,12.4
Iceland,ISL,2012,0.77,4.62,2.3,6.9
India,IND,2012,2.91,0.19,0,4.6
Indonesia,IDN,2012,0.01,0.06,0,0.6
Ireland,IRL,2012,2.3,5.37,2.93,10.9
Israel,ISR,2012,1.26,1.28,0.18,3.1
Italy,ITA,2012,0.79,1.7,4.99,6.1
Jamaica,JAM,2012,1.88,1.35,0.15,5.1
Japan,JPN,2012,4.13,1.37,0.37,7.5
Jordan,JOR,2012,0.34,0.05,0.01,0.7
Kazakhstan,KAZ,2012,4.3,2.06,0.45,8.2
Kenya,KEN,2012,0.43,0.95,0.03,4
Latvia,LVA,2012,3.77,4.67,1.16,10.6
Lebanon,LBN,2012,0.83,0.33,0.35,2.2
Lithuania,LTU,2012,5.62,5.6,1.44,16.2
Luxembourg,LUX,2012,2.28,4.02,4.95,11.2
Macedonia,MKD,2012,0.39,0.64,0.2,5.7
Madagascar,MDG,2012,0.31,0.45,0.1,1.9
Malaysia,MYS,2012,0.12,0.41,0,1.7
Malta,MLT,2012,1.87,3.07,2.4,7.2
Mexico,MEX,2012,1.13,4,0.12,6.8
Micronesia (country),FSM,2012,0.56,1.03,1.39,3.5
Moldova,MDA,2012,3.29,2.28,4.89,17.4
Morocco,MAR,2012,0.08,0.18,0.28,0.7
Mozambique,MOZ,2012,0.3,0.73,0.11,2
Myanmar,MMR,2012,0.2,0.34,0,0.7
Nepal,NPL,2012,0.12,0.13,0,2.1
Netherlands,NLD,2012,1.52,4.37,3.16,9.6
New Zealand,NZL,2012,1.52,3.38,3,11.2
Nicaragua,NIC,2012,2.28,1.33,0.02,4.6
Nigeria,NGA,2012,0.06,0.75,0.05,11.3
North Korea,PRK,2012,3.52,0.09,0,4.4
Norway,NOR,2012,1.11,2.67,2.29,7
Oman,OMN,2012,0.29,0.2,0.02,0.9
Pakistan,PAK,2012,0.03,0,0,0.1
Panama,PAN,2012,1.7,5.01,0.22,7.7
Paraguay,PRY,2012,1.92,2.71,0.73,9.6
Peru,PER,2012,1.63,3.09,0.42,5.2
Philippines,PHL,2012,3.7,1.28,0.02,5.6
Poland,POL,2012,3.53,6.46,0.82,11.5
Portugal,PRT,2012,0.85,2.81,7.88,12.5
Qatar,QAT,2012,0.68,0.33,0.12,1.3
Romania,ROU,2012,1.29,5.31,2.98,12.9
Russia,RUS,2012,5.47,4.2,1.21,14.5
Saint Kitts and Nevis,KNA,2012,4.04,3.91,0.35,7
Saint Lucia,LCA,2012,5.03,3.28,1.17,10.4
Saint Vincent and the Grenadines,VCT,2012,4.14,2.34,0.33,7.2
Saudi Arabia,SAU,2012,0.09,0,0,0.2
Senegal,SEN,2012,0.03,0.14,0.11,0.5
Serbia,SRB,2012,2.12,2.87,4.18,12.9
Singapore,SGP,2012,0.25,1.34,0.27,2.9
Slovakia,SVK,2012,4.35,3.65,1.65,12.5
Slovenia,SVN,2012,0.87,4.58,5.5,10.9
South Africa,ZAF,2012,0.59,4.55,1.29,11.5
South Korea,KOR,2012,0.38,2.02,0.13,10.9
Spain,ESP,2012,2.69,4.42,2.15,10.6
Sri Lanka,LKA,2012,2.35,0.39,0,4.5
Suriname,SUR,2012,3.33,2.07,0.11,6.5
Sweden,SWE,2012,1.1,2.7,3.6,8.7
Switzerland,CHE,2012,1.88,3.17,4.69,10.4
Tanzania,TZA,2012,0.21,0.77,0.02,8.1
Thailand,THA,2012,4.83,1.68,0.03,8.3
Trinidad and Tobago,TTO,2012,2.85,3.59,0.15,6.6
Tunisia,TUN,2012,0.06,0.85,0.39,1.2
Turkey,TUR,2012,0.51,0.9,0.12,2.4
Turkmenistan,TKM,2012,1.3,0.64,0.81,5
Ukraine,UKR,2012,4.19,3.27,0.73,11.8
United Arab Emirates,ARE,2012,1.44,0.19,0.11,4.3
United Kingdom,GBR,2012,2.16,3.46,3.96,12
United States,USA,2012,2.95,4.28,1.59,9
Uruguay,URY,2012,0.57,2.01,3.18,7
Venezuela,VEN,2012,1.68,4.83,0.1,8.3
Vietnam,VNM,2012,1.92,2.18,0.02,8.7
Yemen,YEM,2012,0,0.04,0,0.2
Zambia,ZMB,2012,0.4,0.86,0.06,4
Zimbabwe,ZWE,2012,0.44,2.07,0.08,4.8
Afghanistan,AFG,2011,0,0.01,0,1
Albania,ALB,2011,2.23,1.76,1.29,6.6
Algeria,DZA,2011,0.06,0.2,0.3,0.6
Andorra,AND,2011,2.78,3.27,4.52,9.1
Angola,AGO,2011,0.59,5.37,2.07,7.6
Antigua and Barbuda,ATG,2011,3.29,2.85,1.42,3.2
Argentina,ARG,2011,0.24,3.15,4.05,7.6
Armenia,ARM,2011,3.36,0.33,0.39,5.5
Australia,AUS,2011,1.34,4.31,3.79,12.6
Austria,AUT,2011,1.7,6.09,4.25,8.5
Azerbaijan,AZE,2011,1.51,0.16,0.22,2.1
Bahamas,BHS,2011,4.1,3.34,1.54,4.2
Bahrain,BHR,2011,1.19,0.34,0.12,2.4
Bangladesh,BGD,2011,0,0,0,0.2
Barbados,BRB,2011,4.08,3.34,0.89,6.5
Belarus,BLR,2011,8.16,3.1,0.35,17.1
Belgium,BEL,2011,1.49,4.89,3.71,10.8
Belize,BLZ,2011,1.92,4.43,0.14,8.3
Benin,BEN,2011,0.16,0.79,0.22,2.2
Bhutan,BTN,2011,0,0.18,0.05,1.1
Bolivia,BOL,2011,0.81,2.84,0.24,5.8
Bosnia and Herzegovina,BIH,2011,0.63,3.43,0.45,7.5
Botswana,BWA,2011,1.58,2.39,0.59,7.7
Brazil,BRA,2011,2.63,4.49,0.42,9.1
Brunei,BRN,2011,0.05,0.85,0.05,0.8
Bulgaria,BGR,2011,5.16,4.09,1.37,11.3
Burkina Faso,BFA,2011,0.13,0.53,0.16,7.4
Burundi,BDI,2011,0,1.63,0,9.8
Cambodia,KHM,2011,0.75,1.35,0.02,6.1
Cameroon,CMR,2011,0,2.49,0.11,7.7
Canada,CAN,2011,2.1,4,1.9,10.3
Cape Verde,CPV,2011,0.7,2.82,1.55,7.2
Central African Republic,CAF,2011,0.02,0.33,0.02,3.8
Chad,TCD,2011,0.04,0.38,0.02,4.4
Chile,CHL,2011,1.91,2.46,2.67,9.3
China,CHN,2011,3.65,1.76,0.22,7.6
Colombia,COL,2011,1.34,2.95,0.05,6.6
Comoros,COM,2011,0.05,0.02,0.05,0.2
Congo,COG,2011,0.34,3.27,0.21,3.9
Cook Islands,COK,2011,3.09,2.43,0.84,#N/A
Costa Rica,CRI,2011,1.09,2.07,0.21,5.1
Cote d'Ivoire,CIV,2011,0.03,0.74,0.27,6.5
Croatia,HRV,2011,1.2,4.7,5.89,11.7
Cuba,CUB,2011,2.43,1.63,0.06,5.5
Cyprus,CYP,2011,4.6,3.53,2.56,9.1
Czech Republic,CZE,2011,3.22,6.65,2.56,14.1
Democratic Republic of Congo,COD,2011,0.01,0.69,0.22,3.4
Denmark,DNK,2011,1.51,3.81,5.05,10.2
Djibouti,DJI,2011,0.19,0.12,0.08,0.9
Dominica,DMA,2011,4.79,0.11,0.48,6.6
Dominican Republic,DOM,2011,2.47,3.2,0.18,7.6
Ecuador,ECU,2011,1.15,2.78,0.05,6.1
Egypt,EGY,2011,0.07,0.14,0.02,0.3
El Salvador,SLV,2011,1.32,1.01,0.04,3.5
Equatorial Guinea,GNQ,2011,0,7.47,3.52,8.1
Eritrea,ERI,2011,0,0.38,0,1.4
Ethiopia,ETH,2011,0.05,0.35,0,4.3
Finland,FIN,2011,2.25,4.61,1.74,11.9
France,FRA,2011,2.6,2.1,6.9,11.6
Gabon,GAB,2011,1.94,5.79,1.12,11.8
Gambia,GMB,2011,0.01,0.27,0.02,3.2
Georgia,GEO,2011,2.11,1.84,4.18,6.7
Germany,DEU,2011,2.06,5.94,3.2,10.6
Ghana,GHA,2011,0.11,0.47,0.21,5.4
Greece,GRC,2011,1.63,2.11,4.21,9.3
Grenada,GRD,2011,3.72,3.54,0.38,10.4
Guatemala,GTM,2011,1.21,0.91,0.03,3.9
Guinea,GIN,2011,0.01,0.18,0.02,0.7
Guinea-Bissau,GNB,2011,0.53,0.5,0.9,4.3
Guyana,GUY,2011,5.71,1.8,0.03,8.6
Haiti,HTI,2011,5.65,0.01,0.02,5.9
Honduras,HND,2011,1.69,1.38,0.03,4
Hungary,HUN,2011,3.81,4.05,3.65,12.4
Iceland,ISL,2011,0.8,4.89,2.32,6.9
India,IND,2011,2.82,0.18,0,4.6
Indonesia,IDN,2011,0.01,0.06,0,0.6
Iran,IRN,2011,0.03,0,0,1
Iraq,IRQ,2011,0.05,0.12,0,0.5
Ireland,IRL,2011,2.27,5.5,3.02,10.9
Israel,ISR,2011,1.22,1.22,0.18,3.1
Italy,ITA,2011,0.84,1.69,4.45,6.1
Jamaica,JAM,2011,1.85,1.35,0.13,5.1
Japan,JPN,2011,4.09,1.39,0.33,7.5
Jordan,JOR,2011,0.36,0.04,0.01,0.7
Kazakhstan,KAZ,2011,4.29,1.93,0.4,8.2
Kenya,KEN,2011,0.44,0.91,0.04,4
Kiribati,KIR,2011,0.08,0.43,0.03,2.9
Kuwait,KWT,2011,0.01,0.01,0,0.1
Kyrgyzstan,KGZ,2011,2.5,0.68,0.09,3.9
Laos,LAO,2011,2.84,2.55,0,7.5
Latvia,LVA,2011,3.59,4.89,1.1,10.6
Lebanon,LBN,2011,0.89,0.35,0.31,2.2
Lesotho,LSO,2011,0.6,1.5,0.01,6.4
Liberia,LBR,2011,3.18,0.49,0.05,5.2
Libya,LBY,2011,0,0,0,0
Lithuania,LTU,2011,4.21,5.43,1.04,16.2
Luxembourg,LUX,2011,2.33,4.02,5.05,11.2
Macedonia,MKD,2011,0.34,0.59,0.23,5.7
Madagascar,MDG,2011,0.3,0.5,0.17,1.9
Malawi,MWI,2011,0.16,0.15,0.02,2.5
Malaysia,MYS,2011,0.11,0.39,0,1.7
Maldives,MDV,2011,0.88,0.5,0.54,1
Mali,MLI,2011,0.02,0.08,0.01,1
Malta,MLT,2011,1.75,2.58,2.28,7.2
Mauritania,MRT,2011,0,0,0,0.1
Mauritius,MUS,2011,0.87,1.85,0.3,4
Mexico,MEX,2011,1.13,4,0.12,6.8
Micronesia (country),FSM,2011,0.51,0.9,0.47,3.5
Moldova,MDA,2011,3.52,2.11,3.59,17.4
Montenegro,MNE,2011,2.54,0.72,3.18,11.5
Morocco,MAR,2011,0.09,0.19,0.27,0.7
Mozambique,MOZ,2011,0.08,0.69,0.11,2
Myanmar,MMR,2011,0.17,0.16,0,0.7
Namibia,NAM,2011,0.21,7.3,0.06,11.8
Nepal,NPL,2011,0.12,0.14,0,2.1
Netherlands,NLD,2011,1.49,4.34,3.14,9.6
New Zealand,NZL,2011,1.53,3.65,3.01,11.2
Nicaragua,NIC,2011,2.04,1.33,0.02,4.6
Niger,NER,2011,0.07,0.05,0.01,0.3
Nigeria,NGA,2011,0.06,0.74,0.04,11.3
Niue,NIU,2011,2.12,3.13,0.74,#N/A
North Korea,PRK,2011,3.24,0.15,0,4.4
Norway,NOR,2011,1.18,2.83,2.39,7
Oman,OMN,2011,0.31,0.21,0.02,0.9
Pakistan,PAK,2011,0.03,0,0,0.1
Panama,PAN,2011,1.73,4.91,0.24,7.7
Papua New Guinea,PNG,2011,0.01,0.85,0.02,3.1
Paraguay,PRY,2011,2.09,2.61,1.09,9.6
Peru,PER,2011,1.64,2.75,0.43,5.2
Philippines,PHL,2011,3.52,1.31,0.01,5.6
Poland,POL,2011,3.88,6.11,0.94,11.5
Portugal,PRT,2011,0.92,3.11,7.45,12.5
Qatar,QAT,2011,0.71,0.32,0.13,1.3
Romania,ROU,2011,1.4,4.7,3,12.9
Russia,RUS,2011,5.52,4.16,1.24,14.5
Rwanda,RWA,2011,0.09,0.86,0,10
Saint Kitts and Nevis,KNA,2011,3.99,3.78,0.31,7
Saint Lucia,LCA,2011,5.32,3.27,1.3,10.4
Saint Vincent and the Grenadines,VCT,2011,4.26,2.35,0.3,7.2
Samoa,WSM,2011,0.12,1.94,0.09,#N/A
Sao Tome and Principe,STP,2011,0.5,0.67,4.51,6.8
Saudi Arabia,SAU,2011,0.09,0,0,0.2
